VAR1,Site,Fire,Source,year_surveyed,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner.2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,X2yr_storm,X100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs,subD16_phi,order,ln_tmean,sqrt_tmean,ln_conif,sqrt_conif,ln_slope,sqrt_slope,ln_rckdep,sqrt_rckdep,ln_noncarb,sqrt_noncarb,ln_comp,sqrt_comp,ln_na2o,sqrt_na2o,ln_mx,sqrt_mx,ln_mgo,sqrt_mgo,ln_decid,sqrt_decid,ln_wtdep,sqrt_wtdep,ln_elev,sqrt_elev,ln_runoff,sqrt_runoff,ln_clay,sqrt_clay,ln_avgslope,sqrt_avgslope,pred,resid
1,Brianhead 1,"Brianhead, 2017",Primary Fieldwork,2020,37.747758,-112.788707,NA,1.81,12.71,33.94,1116,13.67,30.08,50.59,3.72,4.23,1.89,65,50,97.5,small,-25,35,73.125,131.625,NA,110.0143753,880.6066471,7048.788533,211.7002906,1694.548395,13563.95995,0.36,305,2631,54,0.19,15.5,14.91559982,unsorted,clast,not stratified,10,4,4,volcanic,igneous,5.09,15.48,12.23,9.8,4.82,2.63,2.53,2.74,0.03,0.16,55.38074664,0,0,0,28.13,71.87,70.24,0.03,310.24,34.97,0,1.21,147.05,0.76,22.76,1.09,56.23,1.82,0.18,0,0,39.61,1,756.61,30,4.62,182.88,0.855989697,1,1.530394705,2.149418526,4.029450422,7.498666548,2.740840024,3.937003937,4.990772665,12.12641744,3.336836623,5.303772243,4.251917949,8.380930736,1.00795792,1.655294536,3.679081612,6.293647591,0.928219303,1.590597372,0.598836501,1.349073756,5.2088302,13.5233132,7.875119281,51.29327441,3.401197382,5.477225575,3.554490551,5.913543777,2.702407633,3.86207196,0.077601646,0.778388051
2,Brianhead 2,"Brianhead, 2017",Primary Fieldwork,2020,37.741477,-112.793208,NA,1,12.4,54.62,527,11.58,30.29,51.53,6.82,5.77,2.15,500,25,625,small,-25,35,468.75,843.75,NA,805.8855835,6450.686101,51634.31638,1563.943249,12518.53512,100204.2252,2.98,744,2924,45,1.34,14,14.3039999,unsorted,matrix,not stratified,5,5,5,volcanic,igneous,5.33,16.07,11.88,10.54,4.7,2.57,2.57,2.63,0.04,0.16,54.27291063,0,0,0,13.77,86.23,70.42,0.03,317.89,31.03,0,2.51,145.97,0.64,28.55,4.62,52.72,6.22,1.87,0,0,31.22,3.27,859.86,30.21,3.35,182.88,0,2,1.208960346,1.830300522,3.96499489,7.260853944,2.63905733,3.741657387,4.983401121,12.0818045,2.622492313,3.710795063,4.254477314,8.391662529,0.966983846,1.621727474,3.441058915,5.587486018,0.943905899,1.603121954,1.827769907,2.493992783,5.2088302,13.5233132,7.980707821,54.07402334,3.408172995,5.496362434,3.434954479,5.570457791,2.660539211,3.782062916,-0.697652433,0.697652433
3,Brianhead 3,"Brianhead, 2017",Primary Fieldwork,2020,37.724362,-112.706177,NA,0.33,11.85,55.86,537.5,12.15,40.99,74.31,40.22,7.4,2.61,1500,20,1800,small,-25,35,1350,2430,NA,136.56922,1093.164076,8750.197865,261.7159524,2094.897205,16768.53956,0.62,276,2832,81,0.5,13,16.05979919,sorted,matrix,stratified,10,4,4,volcanic,igneous,4.92,15.1,14.86,3.73,5.62,3.17,2.03,3.6,0.03,0.18,64.69117819,0,0,0,0,100,72.66,0.04,349.5,35,0,1.2,147.06,0.76,22.57,0.04,43.61,19.17,0.19,0,0,31.5,4.98,690.55,38.65,3.77,182.88,-1.59946207,3,1.327075002,1.941648784,3.775286482,6.603786792,2.564949358,3.605551276,4.990840667,12.12682976,,0,4.285791027,8.524083529,1.280933846,1.897366596,3.449987546,5.61248608,0.708035793,1.424780685,2.953346557,4.378355856,5.2088302,13.5233132,7.948738455,53.21653878,3.654546775,6.216912417,3.555348062,5.916079783,2.776319205,4.007467928,-0.11664394,-1.482818131
5,Brianhead 4,"Brianhead, 2017",Primary Fieldwork,2020,37.758556,-112.794052,NA,1.68,21.61,58.63,820,19.3,31.65,53.75,5.05,5.13,1.48,380,40,532,small,-25,35,399,718.2,NA,174.9199256,1400.141107,11207.38597,330.7930047,2647.822323,21194.41148,2.1,473,2575,8,0.17,54,23.7432003,unsorted,matrix,not stratified,3,4,3,Limestone,sedimentary,4.63,14.33,9.45,15.46,3.85,2.16,3.04,1.84,0.04,0.14,46.56477243,0,0,0,45.32,54.68,71.26,0.03,300.02,32.94,0,1.88,146.5,0.7,25.67,4.26,62.2,3.78,1,0,0,25,3.59,776.01,30.11,4.23,182.88,0.748461233,4,1.442201993,2.05669638,4.130355,7.886697661,3.988984047,7.348469228,4.987025429,12.10371844,3.813748436,6.732013072,4.26633516,8.441563836,0.609765572,1.356465997,3.218875825,5,1.111857515,1.743559577,1.32972401,1.94422221,5.2088302,13.5233132,7.853604813,50.74445783,3.404857343,5.487257967,3.494687725,5.739337941,3.167296186,4.872699488,-0.978519405,1.726980638
6,Clay Springs 1,"Clay Springs Fire, 2012",Primary Fieldwork,2020,39.356533,-112.164818,NA,1.08,10.51,40.23,380,11.43,40.23,72.48,1.4,5.22,2.66,1050,45,1522.5,small,-25,35,1141.875,2055.375,NA,973.2651022,7790.470256,62358.57699,1666.823238,13342.0348,106795.9028,4.01,901,2269,36,1.44,65,26.46249962,unsorted,clast,not stratified,5,4,3,Limestone,sedimentary,3.28,10.18,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88,0.111031312,5,2.192770227,2.993325909,3.50375397,5.765414122,4.17438727,8.062257748,4.819151896,11.12924077,3.153163282,4.838388161,3.401197382,5.477225575,0.048790164,1.024695077,-4.605170186,0.1,0.879626748,1.55241747,0.819779832,1.506651917,5.2088302,13.5233132,7.727094485,47.63402146,3.36729583,5.385164807,3.017004409,4.519955752,3.275728622,5.144171422,1.221609634,-1.110578322
7,Clay Springs 2,"Clay Springs Fire, 2012",Primary Fieldwork,2020,39.33334,-112.150673,NA,13.15,32.95,58.78,NA,16.96,26.36,43.17,NA,2.16,1.35,170,10,187,small,-25,35,140.25,252.45,NA,548.3474409,4389.230045,35133.45545,937.9456133,7507.756505,60095.60356,2.07,1029,2154,7,0.14,56,22.48500061,unsorted,clast,not stratified,3,3,2,Limestone,sedimentary,3.15,9.93,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88,3.716990894,6,2.192770227,2.993325909,3.50375397,5.765414122,4.025351691,7.483314774,4.819151896,11.12924077,3.153163282,4.838388161,3.401197382,5.477225575,0.048790164,1.024695077,-4.605170186,0.1,0.879626748,1.55241747,0.819779832,1.506651917,5.2088302,13.5233132,7.675081858,46.41120554,3.36729583,5.385164807,3.017004409,4.519955752,3.112848447,4.741835152,1.480957958,2.236032937
8,Dairy Fork 1,"Coal Hollow Fire, 2018",Primary Fieldwork,2020,39.950798,-111.349319,NA,2.62,13.97,57.36,540,6.63,20.95,38.26,3.37,4.45,2.53,120,45,174,small,-25,35,130.5,234.9,NA,444.4756672,3557.791661,28478.23276,782.8707064,6266.464233,50159.71816,2.12,583,2141,63,1.34,5,12.11830044,sorted,matrix,not stratified,5,3,3,mudstone,sedimentary,3.35,10.77,6.91,17.1,2.57,1.54,3.12,0.93,0.12,0.18,41.36916538,0,0,0,100,0,76.74,0.02,338.03,22.87,0,4.7,108.43,0.56,38.65,0,15.68,61.01,0,0,0,0,23.31,572.16,248,6.99,182.88,1.389566812,7,1.944480556,2.643860813,2.752386015,3.959797975,1.609437912,2.236067978,4.686104804,10.41297268,4.605170186,10,4.340423085,8.760136985,-0.072570693,0.964365076,,0,1.137833002,1.766352173,4.111037785,7.810889834,5.2088302,13.5233132,7.669028289,46.27094121,5.513428746,15.74801575,3.129826008,4.782258881,2.494716743,3.481134936,1.562187761,-0.17262095
9,Dairy Fork 2,"Coal Hollow Fire, 2018",Primary Fieldwork,2020,39.953975,-111.347712,NA,0.9,4.78,13.58,490,2,8.25,19.3,NA,3.92,3.27,25,45,36.25,small,-25,35,27.1875,48.9375,NA,131.1350739,1049.666622,8402.023849,230.6413696,1846.161673,14777.54372,1.01,309,1993,48,0.48,3,13.21969986,unsorted,matrix,not stratified,2,4,2,mudstone,sedimentary,3.33,10.71,6.57,18.32,2.5,1.54,3.59,0.9,0.11,0.18,39.28827163,0,0,0,100,0,77.29,0.03,296.74,22.23,0,4.73,108.81,0.67,38.79,0.03,43.59,34.9,0,0,0,0.21,21.21,565.32,248,6.84,182.88,-0.152003093,8,1.922787732,2.615339366,3.774827766,6.602272336,1.098612289,1.732050808,4.689603242,10.43120319,4.605170186,10,4.347564581,8.791473142,-0.105360516,0.948683298,-1.560647748,0.45825757,1.278152203,1.894729532,3.552486829,5.907622195,5.2088302,13.5233132,7.59739632,44.64302857,5.513428746,15.74801575,3.101442728,4.714870094,2.581708131,3.635890518,0.442950508,-0.594953602
10,Dollar Ridge 1,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.120918,-110.744614,NA,0.53,6.88,56.88,860,19.21,32.26,55.9,0.43,6.75,1.54,1060,25,1325,small,-25,35,993.75,1788.75,NA,30.44355083,243.6844563,1950.564655,52.04251141,416.5726648,3334.442946,0.15,225,2054,17,0.03,26,18.41080093,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,2.75,9.2,6.8,18.6,2.63,1.53,3.51,1.02,0.11,0.19,39.05255312,0.02,0,0,99.98,0,79.03,0.02,262.52,20.38,0,6.06,101.72,1.31,36.53,9.2,46.11,5.33,0.06,0.11,0,1.24,37.45,519.64,57.78,5.03,181.97,-0.915935735,9,1.615419984,2.242766149,3.831029846,6.790434449,3.258096538,5.099019514,4.622223941,10.08563335,4.604970166,9.99899995,4.369827527,8.889881889,0.019802627,1.009950494,0.21511138,1.113552873,1.255616038,1.8734994,1.673351238,2.308679276,5.203841838,13.48962564,7.627544391,45.32107677,4.056642695,7.601315676,3.014554028,4.514421336,2.9129375,4.290780923,-1.091550672,0.175614937
11,Dollar Ridge 2,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.114964,-110.812256,NA,0.03,6.22,47.6,820,2,20.57,65.33,12.05,10.63,5.03,5600,25,7000,small,-25,35,5250,9450,NA,5614.71204,44942.78799,359743.1494,9598.773832,76833.08675,615008.0545,117.07,1239,2576,23,26.93,46,22.56940079,sorted,matrix,not stratified,5,4,3,sandstone,sedimentary,3.52,10.57,8.17,12.05,3.32,1.75,3.28,1.06,0.07,0.17,49.36575646,0,0,0,100,0,74.23,0.03,248.35,23.29,0,4.44,104.02,1.22,32.62,7.31,51.71,11.87,0.1,0,0,2.91,24.85,572.57,57.9,4.78,182.56,-5.058893689,10,1.564440547,2.186321111,3.945651186,7.190966555,3.828641397,6.782329983,4.644583188,10.19901956,4.605170186,10,4.307168381,8.615683374,0.058268908,1.029563014,1.068153081,1.705872211,1.187843422,1.811077028,2.474014209,3.445286635,5.207078886,13.5114766,7.853993087,50.75431016,4.058717385,7.609204952,3.148024084,4.825971405,3.116595042,4.750726343,-1.62832593,-3.430567759
