Site,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner.2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,X2yr_storm,X100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs,subD50_phi,order,ln_comp,sqrt_comp,ln_clay,sqrt_clay,inv_sqrt_clay,inv_ln_clay,negsqrt_clay,ln_tmean,sqrt_tmean,inv_sqrt_tmean,inv_ln_tmean,ln_p2o5,sqrt_p2o5,ln_runoff,sqrt_runoff,inv_sqrt_runoff,inv_runoff,negsqrt_runoff,inv_ln_runoff,cuberoot_runoff,ln_perm,sqrt_perm,ln_wet,sqrt_wet,invsqrt_wet,invln_wet,ln_decid,sqrt_decid,ln_sand,sqrt_sand,ln_precip,sqrt_precip,inv_precip,ln_n,sqrt_n,ln_rckdep,sqrt_rckdep,ln_alluv,sqrt_alluv,ln_hb,sqrt_hb,ln_avgslope,sqrt_avgslope,pred,resid
Brianhead 1,37.747758,-112.788707,NA,1.81,12.71,33.94,1116,13.67,30.08,50.59,3.72,4.23,1.89,65,50,97.5,small,-25,35,73.125,131.625,NA,110.0143753,880.6066471,7048.788533,211.7002906,1694.548395,13563.95995,0.36,305,2631,54,0.19,15.5,14.91559982,unsorted,clast,not stratified,10,4,4,volcanic,igneous,5.09,15.48,12.23,9.8,4.82,2.63,2.53,2.74,0.03,0.16,55.38074664,0,0,0,28.13,71.87,70.24,0.03,310.24,34.97,0,1.21,147.05,0.76,22.76,1.09,56.23,1.82,0.18,0,0,39.61,1,756.61,30,4.62,182.88,3.6678921252,1,4.2519179493,8.3809307359,3.5544905511,5.9135437768,0.1691033393,0.2813342688,-5.913543777,1.5303947051,2.149418526,0.4652421052,0.6534262022,-1.832581464,0.4,3.4011973817,5.4772255751,0.1825741858,0.0333333333,-5.477225575,0.2940141038,3.107232506,0.1906203596,1.1,5.7373461915,17.613631085,0.0567742106,0.1742966115,0.5988365011,1.3490737563,3.1250046093,4.7707441768,6.6288479291,27.506544676,0.0013216849,-3.506557897,0.1732050808,4.990772665,12.126417443,,0,,0,2.702407633,3.8620719595,4.2220826035,-0.554190478
Brianhead 2,37.741477,-112.793208,NA,1,12.4,54.62,527,11.58,30.29,51.53,6.82,5.77,2.15,500,25,625,small,-25,35,468.75,843.75,NA,805.8855835,6450.686101,51634.31638,1563.943249,12518.53512,100204.2252,2.98,744,2924,45,1.34,14,14.3039999,unsorted,matrix,not stratified,5,5,5,volcanic,igneous,5.33,16.07,11.88,10.54,4.7,2.57,2.57,2.63,0.04,0.16,54.27291063,0,0,0,13.77,86.23,70.42,0.03,317.89,31.03,0,2.51,145.97,0.64,28.55,4.62,52.72,6.22,1.87,0,0,31.22,3.27,859.86,30.21,3.35,182.88,3.6322682155,2,4.2544773137,8.391662529,3.4349544785,5.5704577909,0.1795184593,0.2911246732,-5.570457791,1.2089603458,1.8303005218,0.5463583647,0.8271569894,-1.832581464,0.4,3.4081729954,5.4963624335,0.1819385115,0.033101622,-5.496362433,0.293412336,3.1144658635,0.9202827531,1.5842979518,5.761705411,17.829469987,0.0560869168,0.1735597238,1.8277699068,2.4939927827,3.3516569361,5.343220003,6.7567695853,29.32336952,0.00116298,-3.218875825,0.2,4.9834011211,12.081804501,,0,,0,2.6605392114,3.7820629159,3.4139042411,0.2183639744
Brianhead 3,37.724362,-112.706177,NA,0.33,11.85,55.86,537.5,12.15,40.99,74.31,40.22,7.4,2.61,1500,20,1800,small,-25,35,1350,2430,NA,136.56922,1093.164076,8750.197865,261.7159524,2094.897205,16768.53956,0.62,276,2832,81,0.5,13,16.05979919,sorted,matrix,stratified,10,4,4,volcanic,igneous,4.92,15.1,14.86,3.73,5.62,3.17,2.03,3.6,0.03,0.18,64.69117819,0,0,0,0,100,72.66,0.04,349.5,35,0,1.2,147.06,0.76,22.57,0.04,43.61,19.17,0.19,0,0,31.5,4.98,690.55,38.65,3.77,182.88,3.566815154,3,4.2857910268,8.5240835285,3.5553480615,5.9160797831,0.1690308509,0.2812664141,-5.916079783,1.3270750015,1.9416487839,0.5150262026,0.7535369131,-1.714798428,0.4242640687,3.654546775,6.2169124169,0.1608515502,0.0258732212,-6.216912417,0.2736317419,3.3810362939,0.1823215568,1.095445115,5.8565035617,18.694919096,0.0534904695,0.1707503444,2.9533465571,4.3783558558,3.1166215908,4.7507894081,6.5374883815,26.278318059,0.0014481211,-3.506557897,0.1732050808,4.9908406668,12.126829759,,0,,0,2.7763192047,4.0074679275,4.0377411571,-0.470926003
Brianhead 4,37.758556,-112.794052,NA,1.68,21.61,58.63,820,19.3,31.65,53.75,5.05,5.13,1.48,380,40,532,small,-25,35,399,718.2,NA,174.9199256,1400.141107,11207.38597,330.7930047,2647.822323,21194.41148,2.1,473,2575,8,0.17,54,23.7432003,unsorted,matrix,not stratified,3,4,3,Limestone,sedimentary,4.63,14.33,9.45,15.46,3.85,2.16,3.04,1.84,0.04,0.14,46.56477243,0,0,0,45.32,54.68,71.26,0.03,300.02,32.94,0,1.88,146.5,0.7,25.67,4.26,62.2,3.78,1,0,0,25,3.59,776.01,30.11,4.23,182.88,4.4336271671,4,4.2663351602,8.4415638362,3.4946877247,5.7393379409,0.1742361245,0.2861486,-5.739337941,1.4422019931,2.0566963801,0.4862166383,0.6933841479,-1.966112856,0.3741657387,3.4048573425,5.4872579673,0.1822403842,0.0332115576,-5.487257967,0.2936980612,3.1110256023,0.6312717768,1.3711309201,5.7038491391,17.321085416,0.0577331025,0.1753202049,1.3297240096,1.9442222095,3.2453229949,5.0665570164,6.6541654067,27.856956043,0.0012886432,-3.218875825,0.2,4.9870254285,12.103718437,,0,,0,3.1672961863,4.872699488,3.8119943107,0.6216328563
Clay Springs 1,39.356533,-112.164818,NA,1.08,10.51,40.23,380,11.43,40.23,72.48,1.4,5.22,2.66,1050,45,1522.5,small,-25,35,1141.875,2055.375,NA,973.2651022,7790.470256,62358.57699,1666.823238,13342.0348,106795.9028,4.01,901,2269,36,1.44,65,26.46249962,unsorted,clast,not stratified,5,4,3,Limestone,sedimentary,3.28,10.18,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88,3.3936907642,5,3.4011973817,5.4772255751,3.0170044088,4.519955752,0.2212411039,0.3314546035,-4.519955752,2.192770227,2.9933259094,0.3340765524,0.4560441344,-1.966112856,0.3741657387,3.36729583,5.3851648071,0.1856953382,0.0344827586,-5.385164807,0.2969742044,3.0723168257,1.9358598132,2.6324893162,6.0679856767,20.780038499,0.0481231062,0.1647993343,0.8197798315,1.5066519173,3.6192613872,6.1081912216,6.0023550299,20.109201874,0.0024729215,-1.771956842,0.4123105626,4.8191518955,11.129240765,4.1668202505,8.0318117508,,0,3.2757286221,5.1441714221,5.361363218,-1.967672454
Clay Springs 2,39.33334,-112.150673,NA,13.15,32.95,58.78,NA,16.96,26.36,43.17,NA,2.16,1.35,170,10,187,small,-25,35,140.25,252.45,NA,548.3474409,4389.230045,35133.45545,937.9456133,7507.756505,60095.60356,2.07,1029,2154,7,0.14,56,22.48500061,unsorted,clast,not stratified,3,3,2,Limestone,sedimentary,3.15,9.93,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88,5.0422065601,6,3.4011973817,5.4772255751,3.0170044088,4.519955752,0.2212411039,0.3314546035,-4.519955752,2.192770227,2.9933259094,0.3340765524,0.4560441344,-1.966112856,0.3741657387,3.36729583,5.3851648071,0.1856953382,0.0344827586,-5.385164807,0.2969742044,3.0723168257,1.9358598132,2.6324893162,6.0679856767,20.780038499,0.0481231062,0.1647993343,0.8197798315,1.5066519173,3.6192613872,6.1081912216,6.0023550299,20.109201874,0.0024729215,-1.771956842,0.4123105626,4.8191518955,11.129240765,4.1668202505,8.0318117508,,0,3.1128484474,4.7418351521,5.361363218,-0.319156658
Dairy Fork 1,39.950798,-111.349319,NA,2.62,13.97,57.36,540,6.63,20.95,38.26,3.37,4.45,2.53,120,45,174,small,-25,35,130.5,234.9,NA,444.4756672,3557.791661,28478.23276,782.8707064,6266.464233,50159.71816,2.12,583,2141,63,1.34,5,12.11830044,sorted,matrix,not stratified,5,3,3,mudstone,sedimentary,3.35,10.77,6.91,17.1,2.57,1.54,3.12,0.93,0.12,0.18,41.36916538,0,0,0,100,0,76.74,0.02,338.03,22.87,0,4.7,108.43,0.56,38.65,0,15.68,61.01,0,0,0,0,23.31,572.16,248,6.99,182.88,3.8042601156,7,4.3404230848,8.7601369852,3.129826008,4.7822588805,0.2091062038,0.3195065788,-4.78225888,1.9444805562,2.6438608133,0.3782347372,0.5142761633,-1.714798428,0.4242640687,5.5134287462,15.748015748,0.0635000635,0.0040322581,-15.74801575,0.1813753376,6.2827613048,1.5475625087,2.1679483389,5.8231346489,18.385592185,0.0543904156,0.1717288128,4.1110377852,7.8108898341,3.654546775,6.2169124169,6.3494186725,23.91986622,0.0017477629,-2.120263536,0.3464101615,4.6861048035,10.412972678,,0,,0,2.4947167431,3.4811349356,3.6791877944,0.1250723212
Dairy Fork 2,39.953975,-111.347712,NA,0.9,4.78,13.58,490,2,8.25,19.3,NA,3.92,3.27,25,45,36.25,small,-25,35,27.1875,48.9375,NA,131.1350739,1049.666622,8402.023849,230.6413696,1846.161673,14777.54372,1.01,309,1993,48,0.48,3,13.21969986,unsorted,matrix,not stratified,2,4,2,mudstone,sedimentary,3.33,10.71,6.57,18.32,2.5,1.54,3.59,0.9,0.11,0.18,39.28827163,0,0,0,100,0,77.29,0.03,296.74,22.23,0,4.73,108.81,0.67,38.79,0.03,43.59,34.9,0,0,0,0.21,21.21,565.32,248,6.84,182.88,2.2570106182,8,4.3475645811,8.7914731416,3.101442728,4.7148700937,0.212094921,0.3224305872,-4.714870094,1.9227877316,2.6153393661,0.3823595565,0.5200782091,-1.714798428,0.4242640687,5.5134287462,15.748015748,0.0635000635,0.0040322581,-15.74801575,0.1813753376,6.2827613048,1.5539252025,2.1748563171,5.6928563345,17.226142923,0.0580513005,0.1756587451,3.5524868292,5.9076221951,3.6581624815,6.2281618476,6.3373919425,23.776458946,0.0017689096,-2.207274913,0.331662479,4.689603242,10.43120319,,0,,0,2.5817081307,3.6358905182,3.420039603,-1.163028985
Dollar Ridge 1,40.120918,-110.744614,NA,0.53,6.88,56.88,860,19.21,32.26,55.9,0.43,6.75,1.54,1060,25,1325,small,-25,35,993.75,1788.75,NA,30.44355083,243.6844563,1950.564655,52.04251141,416.5726648,3334.442946,0.15,225,2054,17,0.03,26,18.41080093,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,2.75,9.2,6.8,18.6,2.63,1.53,3.51,1.02,0.11,0.19,39.05255312,0.02,0,0,99.98,0,79.03,0.02,262.52,20.38,0,6.06,101.72,1.31,36.53,9.2,46.11,5.33,0.06,0.11,0,1.24,37.45,519.64,57.78,5.03,181.97,2.7824085649,9,4.3698275272,8.889881889,3.0145540278,4.5144213361,0.2215123325,0.3317240264,-4.514421336,1.6154199841,2.2427661492,0.4458779621,0.6190340653,-1.660731207,0.4358898944,4.056642695,7.6013156756,0.131556173,0.0173070267,-7.601315676,0.2465092628,3.8659762276,1.8017098001,2.461706725,5.5703272696,16.202468948,0.0617189888,0.1795226657,1.6733512382,2.3086792761,3.5981338408,6.0440052945,6.2531362641,22.795613613,0.0019244092,-2.207274913,0.331662479,4.6222239406,10.085633346,-3.912023005,0.1414213562,,0,2.9129374995,4.2907809231,2.3427180304,0.4396905345
Dollar Ridge 2,40.114964,-110.812256,NA,0.03,6.22,47.6,820,2,20.57,65.33,12.05,10.63,5.03,5600,25,7000,small,-25,35,5250,9450,NA,5614.71204,44942.78799,359743.1494,9598.773832,76833.08675,615008.0545,117.07,1239,2576,23,26.93,46,22.56940079,sorted,matrix,not stratified,5,4,3,sandstone,sedimentary,3.52,10.57,8.17,12.05,3.32,1.75,3.28,1.06,0.07,0.17,49.36575646,0,0,0,100,0,74.23,0.03,248.35,23.29,0,4.44,104.02,1.22,32.62,7.31,51.71,11.87,0.1,0,0,2.91,24.85,572.57,57.9,4.78,182.56,2.6369145804,10,4.3071683811,8.6156833739,3.1480240839,4.8259714048,0.2072121685,0.3176595774,-4.825971405,1.5644405465,2.1863211109,0.4573893537,0.6392061381,-1.771956842,0.4123105626,4.0587173846,7.6092049519,0.1314197746,0.0172711572,-7.609204952,0.2463832549,3.8686507191,1.4906543764,2.1071307506,5.5148390416,15.759124341,0.0634553024,0.1813289549,2.4740142086,3.4452866354,3.4849255972,5.7113921245,6.3501349987,23.928434968,0.0017465113,-2.659260037,0.2645751311,4.6445831883,10.199019561,,0,,0,3.1165950415,4.7507263434,2.8316761986,-0.194761618
