Site,Fire,Source,year_surveyed,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner.2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,X2yr_storm,X100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs,D84B_phi,order,ln_wet,sqrt_wet,ln_slope,sqrt_slope,ln_cao,sqrt_cao,ln_al2o3,sqrt_al2o3,ln_elev,sqrt_elev,ln_mgo,sqrt_mgo,ln_na2o,sqrt_na2o,ln_boulder,sqrt_boulder,pred,resid
Brianhead 1,"Brianhead, 2017",Primary Fieldwork,2020,37.747758,-112.788707,NA,1.81,12.71,33.94,1116,13.67,30.08,50.59,3.72,4.23,1.89,65,50,97.5,small,-25,35,73.125,131.625,NA,110.0143753,880.6066471,7048.788533,211.7002906,1694.548395,13563.95995,0.36,305,2631,54,0.19,15.5,14.91559982,unsorted,clast,not stratified,10,4,4,volcanic,igneous,5.09,15.48,12.23,9.8,4.82,2.63,2.53,2.74,0.03,0.16,55.38074664,0,0,0,28.13,71.87,70.24,0.03,310.24,34.97,0,1.21,147.05,0.76,22.76,1.09,56.23,1.82,0.18,0,0,39.61,1,756.61,30,4.62,182.88,10.124121312,1,5.7373461915,17.613631085,2.7408400239,3.937003937,2.2823823857,3.1304951685,2.5038919497,3.49714169,7.875119281,51.293274413,0.9282193027,1.5905973721,1.0079579204,1.6552945357,2.302585093,3.1622776602,9.2885873958,0.8355339161
Brianhead 2,"Brianhead, 2017",Primary Fieldwork,2020,37.741477,-112.793208,NA,1,12.4,54.62,527,11.58,30.29,51.53,6.82,5.77,2.15,500,25,625,small,-25,35,468.75,843.75,NA,805.8855835,6450.686101,51634.31638,1563.943249,12518.53512,100204.2252,2.98,744,2924,45,1.34,14,14.3039999,unsorted,matrix,not stratified,5,5,5,volcanic,igneous,5.33,16.07,11.88,10.54,4.7,2.57,2.57,2.63,0.04,0.16,54.27291063,0,0,0,13.77,86.23,70.42,0.03,317.89,31.03,0,2.51,145.97,0.64,28.55,4.62,52.72,6.22,1.87,0,0,31.22,3.27,859.86,30.21,3.35,182.88,9.0416591516,2,5.761705411,17.829469987,2.6390573296,3.7416573868,2.3551775431,3.2465366161,2.4748563139,3.4467375879,7.9807078209,54.074023338,0.9439058989,1.6031219542,0.9669838462,1.621727474,1.6094379124,2.2360679775,9.3500251679,-0.308366016
Brianhead 3,"Brianhead, 2017",Primary Fieldwork,2020,37.724362,-112.706177,NA,0.33,11.85,55.86,537.5,12.15,40.99,74.31,40.22,7.4,2.61,1500,20,1800,small,-25,35,1350,2430,NA,136.56922,1093.164076,8750.197865,261.7159524,2094.897205,16768.53956,0.62,276,2832,81,0.5,13,16.05979919,sorted,matrix,stratified,10,4,4,volcanic,igneous,4.92,15.1,14.86,3.73,5.62,3.17,2.03,3.6,0.03,0.18,64.69117819,0,0,0,0,100,72.66,0.04,349.5,35,0,1.2,147.06,0.76,22.57,0.04,43.61,19.17,0.19,0,0,31.5,4.98,690.55,38.65,3.77,182.88,9.0701209445,3,5.8565035617,18.694919096,2.5649493575,3.6055512755,1.3164082337,1.9313207916,2.6986730393,3.8548670535,7.9487384548,53.216538783,0.7080357931,1.4247806849,1.2809338455,1.8973665961,2.302585093,3.1622776602,9.2002652397,-0.130144295
Brianhead 4,"Brianhead, 2017",Primary Fieldwork,2020,37.758556,-112.794052,NA,1.68,21.61,58.63,820,19.3,31.65,53.75,5.05,5.13,1.48,380,40,532,small,-25,35,399,718.2,NA,174.9199256,1400.141107,11207.38597,330.7930047,2647.822323,21194.41148,2.1,473,2575,8,0.17,54,23.7432003,unsorted,matrix,not stratified,3,4,3,Limestone,sedimentary,4.63,14.33,9.45,15.46,3.85,2.16,3.04,1.84,0.04,0.14,46.56477243,0,0,0,45.32,54.68,71.26,0.03,300.02,32.94,0,1.88,146.5,0.7,25.67,4.26,62.2,3.78,1,0,0,25,3.59,776.01,30.11,4.23,182.88,9.6794800995,4,5.7038491391,17.321085416,3.9889840466,7.3484692283,2.7382560432,3.9319206503,2.2460147415,3.0740852298,7.8536048131,50.744457825,1.1118575154,1.7435595774,0.6097655716,1.3564659966,1.0986122887,1.7320508076,9.4172825916,0.2621975079
Clay Springs 1,"Clay Springs Fire, 2012",Primary Fieldwork,2020,39.356533,-112.164818,NA,1.08,10.51,40.23,380,11.43,40.23,72.48,1.4,5.22,2.66,1050,45,1522.5,small,-25,35,1141.875,2055.375,NA,973.2651022,7790.470256,62358.57699,1666.823238,13342.0348,106795.9028,4.01,901,2269,36,1.44,65,26.46249962,unsorted,clast,not stratified,5,4,3,Limestone,sedimentary,3.28,10.18,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88,8.5698556083,5,6.0679856767,20.780038499,4.1743872699,8.0622577483,1.5933085305,2.2181073013,2.3570732783,3.2496153619,7.7270944848,47.634021455,0.8796267475,1.5524174696,0.0487901642,1.0246950766,1.6094379124,2.2360679775,8.9769850632,-0.407129455
Dairy Fork 1,"Coal Hollow Fire, 2018",Primary Fieldwork,2020,39.950798,-111.349319,NA,2.62,13.97,57.36,540,6.63,20.95,38.26,3.37,4.45,2.53,120,45,174,small,-25,35,130.5,234.9,NA,444.4756672,3557.791661,28478.23276,782.8707064,6266.464233,50159.71816,2.12,583,2141,63,1.34,5,12.11830044,sorted,matrix,not stratified,5,3,3,mudstone,sedimentary,3.35,10.77,6.91,17.1,2.57,1.54,3.12,0.93,0.12,0.18,41.36916538,0,0,0,100,0,76.74,0.02,338.03,22.87,0,4.7,108.43,0.56,38.65,0,15.68,61.01,0,0,0,0,23.31,572.16,248,6.99,182.88,9.0768155971,6,5.8231346489,18.385592185,1.6094379124,2.2360679775,2.8390784635,4.1352146256,1.9329696378,2.6286878856,7.6690282886,46.270941205,1.1378330018,1.7663521733,-0.072570693,0.9643650761,1.6094379124,2.2360679775,9.0880366825,-0.011221085
Dairy Fork 2,"Coal Hollow Fire, 2018",Primary Fieldwork,2020,39.953975,-111.347712,NA,0.9,4.78,13.58,490,2,8.25,19.3,NA,3.92,3.27,25,45,36.25,small,-25,35,27.1875,48.9375,NA,131.1350739,1049.666622,8402.023849,230.6413696,1846.161673,14777.54372,1.01,309,1993,48,0.48,3,13.21969986,unsorted,matrix,not stratified,2,4,2,mudstone,sedimentary,3.33,10.71,6.57,18.32,2.5,1.54,3.59,0.9,0.11,0.18,39.28827163,0,0,0,100,0,77.29,0.03,296.74,22.23,0,4.73,108.81,0.67,38.79,0.03,43.59,34.9,0,0,0,0.21,21.21,565.32,248,6.84,182.88,8.936637939,7,5.6928563345,17.226142923,1.0986122887,1.7320508076,2.9079933592,4.2801869118,1.8825138325,2.5632011236,7.5973963202,44.643028571,1.2781522025,1.8947295321,-0.105360516,0.9486832981,0.6931471806,1.4142135624,9.1616034156,-0.224965477
Dollar Ridge 1,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.120918,-110.744614,NA,0.53,6.88,56.88,860,19.21,32.26,55.9,0.43,6.75,1.54,1060,25,1325,small,-25,35,993.75,1788.75,NA,30.44355083,243.6844563,1950.564655,52.04251141,416.5726648,3334.442946,0.15,225,2054,17,0.03,26,18.41080093,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,2.75,9.2,6.8,18.6,2.63,1.53,3.51,1.02,0.11,0.19,39.05255312,0.02,0,0,99.98,0,79.03,0.02,262.52,20.38,0,6.06,101.72,1.31,36.53,9.2,46.11,5.33,0.06,0.11,0,1.24,37.45,519.64,57.78,5.03,181.97,9.7481928496,8,5.5703272696,16.202468948,3.258096538,5.0990195136,2.9231615807,4.3127717306,1.9169226122,2.6076809621,7.6275443905,45.321076774,1.2556160375,1.8734993995,0.0198026273,1.0099504938,2.302585093,3.1622776602,9.3281422485,0.4200506011
Dollar Ridge 2,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.114964,-110.812256,NA,0.03,6.22,47.6,820,2,20.57,65.33,12.05,10.63,5.03,5600,25,7000,small,-25,35,5250,9450,NA,5614.71204,44942.78799,359743.1494,9598.773832,76833.08675,615008.0545,117.07,1239,2576,23,26.93,46,22.56940079,sorted,matrix,not stratified,5,4,3,sandstone,sedimentary,3.52,10.57,8.17,12.05,3.32,1.75,3.28,1.06,0.07,0.17,49.36575646,0,0,0,100,0,74.23,0.03,248.35,23.29,0,4.44,104.02,1.22,32.62,7.31,51.71,11.87,0.1,0,0,2.91,24.85,572.57,57.9,4.78,182.56,9.6794800995,9,5.5148390416,15.759124341,3.8286413965,6.7823299831,2.4890646599,3.4713109915,2.1004689089,2.8583211856,7.8539930872,50.754310162,1.1878434224,1.8110770276,0.0582689081,1.0295630141,1.6094379124,2.2360679775,9.5460183278,0.1334617717
Dollar Ridge 3,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.118462,-110.829193,NA,2.41,5.17,7.93,370,2,24.69,54.98,NA,1.72,4.78,60,45,87,small,-25,35,65.25,117.45,NA,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.07,279,2028,0,0,0,26.57410049,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.52,10,9.47,6.2,4.16,1.96,3.02,1.1,0.05,0.16,58.28841377,1.97,0,0,85.04,0,67.93,0.21,424.18,23.72,0,5.33,115.31,1.16,33.64,0.6,19.49,37.16,0.14,0.01,0.03,1.21,31.09,643.03,59.3,4.41,179.13,8.5313814605,10,6.0501578934,20.595630605,,0,1.8245492921,2.4899799196,2.2481289072,3.0773365107,7.6148053647,45.033320997,1.1052568314,1.7378147197,0.0953101798,1.0488088482,1.0986122887,1.7320508076,8.7921744586,-0.260792998
