Site,EstInt,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10
Brian Head 5A,1537.7,1537.7,1281.1082,,1210.231505,,,,,,,
Brian Head 2,1837.290472,1805.043181,1666.43032,,,,,,,,,
Dollar Ridge 1A,13846.1322,12873.7748,12376.49452,,12197.9082,,,  ,,,,
Dollar Ridge 2A,1128.265611,1056.268347,1104.269222,,999.4899631,,,,,,,
Dollar Ridge 4,1779.422,1233.216,1154.45,,1019.647,,,,,,,
Dollar Ridge 5,5010.218919,4566.854387,4735.700195,,4485.349586,,,,,,,
Fish Creek 1,2396.061639,2051.046114,,,2030.686,,,,2086.993,,1890.289,1905.424
Fish Creek 2,2160,1786.945,,,1625.361,,,,1678.387,,1677.743,1679.505
Fish Creek 3,770.9323974,673.6464433,,,565.0421,,,,631.7695,,591.9681,584.7667
Fish Creek 4 2011,1048.6,807.6932,,,502.3862,,,,,,,
Fish Creek 5 2011,3380.121117,2415.424484,,,,,,,,,,
Fish Creek 7 2011,2133,1578.228,,,1527.359,,,,,,,
Fish Creek 5 2014,2684.841995,2496.856535,,,,,,,,,,
Fish Creek 5 2018,3233.9,2960.124,,2735.559,2660.583,,,,,,,
Fish Creek 7 2018,2154.41,1731.377,,1709.328,1705.508,,,,,,,
Fish Creek 4 2018,779.7475,644.5278,,523.1542,618.6641,,,,,,,
Shingle Creek 2 2014,364.23,262.8419,,,,261.9351,,169.1367,197.3213,,,
Shingle Creek 1A,4431.610127,4203.432384,,,4095.816,,,,4045.662,,3953.405,3927.373
Shingle Creek 2 2011,222.67,174.61,,,,,,,,,,
Lake Fork 1,12165.66147,11119.50809,,10540.6,10845.18,,,,,,,
Lake Fork 1A,6708.347,6528.377,6566.745,6460.246,,,,,,,,
POCR Blind Canyon 1,788.0252619,560.5758571,,632.8688954,610.2012055,,,,,,,
Seeley 1A,835.1389,618.1034,,611.8152,,,618.5237,,,,692.8907,
Seeley 1,1832.172693,1346.481,,1381.205,,,1412.96,,,1368.946,1347.114,
Shingle 2A,3540.4,3457.7,,,3354.335,3151.145,,3009.135,,,,
Shingle 1A,4265.587178,4194.491888,,4263.860105,,,4262.119619,4010.0122,,3926.549705,,
Trail Mountain 1,1280.096189,1221.458598,811.1510774,,811.8351601,,,,,,,
Trail Mountain 2A,380.451,290.8402,325.0128,,334.0936,,,,,,,
Clay Springs 1A,783.8665,783.8665,,,,763.0396,760.2895,,760.2895,,,
Clay Springs 2A,945.3613,945.3613,,,,890.9357,890.9358,,890.9358,,,
Clay Springs 3A,1150.642,1096.371,,,,1122.972,1103.21,,1105.892,,,
