"","Site","EstInt","0","1","2","3","4","5","6","7","8","9","10"
"1","Brian Head 5A",100,100,83.3,NA,78.7,NA,NA,NA,NA,NA,NA,NA
"2","Brian Head 2",100,98.2,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Dollar Ridge 1A",100,93,89.4,NA,88.1,NA,NA,NA,NA,NA,NA,NA
"4","Dollar Ridge 2A",100,93.6,97.9,NA,88.6,NA,NA,NA,NA,NA,NA,NA
"5","Dollar Ridge 4",100,69.3,64.9,NA,57.3,NA,NA,NA,NA,NA,NA,NA
"6","Dollar Ridge 5",100,91.2,94.5,NA,89.5,NA,NA,NA,NA,NA,NA,NA
"7","Fish Creek 1",100,85.6,NA,NA,84.8,NA,NA,NA,87.1,NA,78.9,79.5
"8","Fish Creek 2",100,82.7,NA,NA,75.2,NA,NA,NA,77.7,NA,77.7,77.8
"9","Fish Creek 3",100,87.4,NA,NA,73.3,NA,NA,NA,81.9,NA,76.8,75.9
"10","Fish Creek 4 2011",100,77,NA,NA,47.9,NA,NA,NA,NA,NA,NA,NA
"11","Fish Creek 5 2011",100,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Fish Creek 7 2011",100,74,NA,NA,71.6,NA,NA,NA,NA,NA,NA,NA
"18","Shingle Creek 1A",100,94.9,NA,NA,92.4,NA,NA,NA,91.3,NA,89.2,88.6
"19","Shingle Creek 2 2011",100,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Lake Fork 1",100,91.4,NA,86.6,89.1,NA,NA,NA,NA,NA,NA,NA
"21","Lake Fork 1A",100,97.3,97.9,96.3,NA,NA,NA,NA,NA,NA,NA,NA
"22","POCR Blind Canyon 1",100,71.1,NA,80.3,77.4,NA,NA,NA,NA,NA,NA,NA
"23","Seeley 1A",100,74,NA,73.3,NA,NA,74.1,NA,NA,NA,83,NA
"24","Seeley 1",100,73.5,NA,75.4,NA,NA,77.1,NA,NA,74.7,73.5,NA
"25","Shingle 2A",100,97.7,NA,NA,94.7,89,NA,85,NA,NA,NA,NA
"26","Shingle 1A",100,98.3,NA,100,NA,NA,99.9,94,NA,92.1,NA,NA
"27","Trail Mountain 1",100,95.4,63.4,NA,63.4,NA,NA,NA,NA,NA,NA,NA
"28","Trail Mountain 2A",100,76.4,85.4,NA,87.8,NA,NA,NA,NA,NA,NA,NA
"29","Clay Springs 1A",100,100,NA,NA,NA,97.3,97,NA,97,NA,NA,NA
"30","Clay Springs 2A",100,100,NA,NA,NA,94.2,94.2,NA,94.2,NA,NA,NA
"31","Clay Springs 3A",100,95.3,NA,NA,NA,97.6,95.9,NA,96.1,NA,NA,NA
