DF_ID,Fire,est_D16 (phi) 2008,est_D16 (phi) 2011,est_D16 (phi) 2016,est_D50 (phi),est_D84 (phi),est_D84B (phi)
BH5A,Brian Head,,,0.6,-4.5,-6.5,-9.5
BH3,Brian Head,,,-0.7,-4.1,-5.9,-9.3
DR1A,Dollar Ridge,,,1.4,-4.2,-5.6,-9.5
DR2A,Dollar Ridge,,,2.0,-4.2,-6.3,-9.5
DR3A,Dollar Ridge,,,0.8,-2.9,-4.9,-9.4
DR4A,Dollar Ridge,,,1.0,-2.9,-4.8,-9.4
DR5A,Dollar Ridge,,,2.6,-3.2,-5.5,-9.6
DR1,Dollar Ridge,,,-0.2,-2.6,-4.6,-9.4
DR4,Dollar Ridge,,,2.6,-4.2,-6.2,-9.1
DR5,Dollar Ridge,,,2.3,-4.1,-6.1,-9.6
FC1,Twitchell,1.7,,,-2.5,-5.1,-9.4
FC2,Twitchell,1.7,,,-2.5,-5.1,-9.5
FC3,Twitchell,1.8,,,-2.5,-5.0,-9.4
FC4_11,Twitchell,-0.2,,,-4.0,-5.8,-9.4
FC5_11,Twitchell,0.1,,,-5.3,-5.6,-9.2
FC7_11,Twitchell,-0.5,,,-1.4,-4.3,-9.1
FC5_14,Twitchell,0.1,,,-5.3,-5.6,-9.2
FC5_18,Twitchell,0.1,,,-5.3,-5.6,-9.2
FC4_18,Twitchell,0.7,,,-4.0,-6.1,-9.4
FC7_18,Twitchell,-0.5,,,-1.4,-4.3,-9.1
SC1A,Twitchell,-1.0,,,-4.7,-6.2,-9.3
SC2_11,Twitchell,0.0,,,-4.5,-6.1,-9.4
SC2_14,Twitchell,-1.0,,,-4.7,-6.2,-9.3
T1A,Twitchell,2.6,,,-2.4,-5.5,-9.6
T2A,Twitchell,2.9,,,-2.4,-5.5,-9.5
T3A,Twitchell,2.7,,,-2.4,-5.5,-9.5
T4A,Twitchell,2.5,,,-2.4,-5.4,-9.6
T5A,Twitchell,-0.1,,,-2.4,-5.1,-9.5
T6A,Twitchell,1.5,,,-2.4,-5.5,-9.5
T7A,Twitchell,2.2,,,-2.4,-5.5,-9.6
T8A,Twitchell,2.1,,,-2.4,-5.5,-9.6
LF1,Pole Creek,-3.0,-3.0,-2.3,-4.5,-5.7,-9.7
LF1A,Pole Creek,-1.7,-1.7,0.3,-4.2,-5.6,-9.6
PBC1,Pole Creek,-3.3,-3.3,-2.2,-4.3,-5.5,-9.5
S1A,Seeley,,3.1,,-3.2,-5.6,-9.8
S1,Seeley,,3.7,,-3.2,-5.6,-9.8
S2A,Seeley,,2.1,,-2.6,-4.7,-9.9
S3A,Seeley,,3.6,,-2.6,-5.3,-10.0
S4A,Seeley,,4.7,,-3.2,-5.7,-9.8
S5A,Seeley,,3.6,,-2.6,-5.1,-10.0
Sh2A,Shingle,,2.1,,-4.3,-5.9,-9.5
Sh1A,Shingle,,2.4,,-3.9,-5.9,-9.6
TM1,Trail Mountain,0.3,0.3,2.8,-2.2,-4.8,-9.9
TM2A,Trail Mountain,0.9,0.9,3.7,-2.2,-5.0,-9.9
TM3A,Trail Mountain,0.7,0.7,3.1,-2.2,-4.9,-10.0
TM4A,Trail Mountain,-0.4,-0.4,0.3,-2.2,-4.5,-9.9
TM5A,Trail Mountain,1.0,1.0,1.7,-2.2,-5.0,-10.0
CS1A,Clay Springs,,0.0,,2.3,-2.2,-9.7
CS2A,Clay Springs,,2.2,,0.7,-2.4,-9.3
CS3A,Clay Springs,,2.2,,2.0,-2.0,-9.3
CS1,Clay Springs,,1.4,,2.0,-2.1,-9.3
CS2,Clay Springs,,1.0,,1.9,-2.0,-9.3
