Site ,obs_vol,initial_vol_est,obs_vol_low,obs_vol_high,2020_reg,int_reg,int_vol_Wall
Brianhead 1,65,97.5,73.125,131.625,114.4951,,
Brianhead 2,500,625,468.75,843.75,283.9,1837.290472,2287.9
Brianhead 3,1500,1800,1350,2430,1009.5,3267.823069,1022.9
Brianhead 4,380,532,399,718.2,411.4,753.0999756,1112.7
Clay Springs 1,1050,1522.5,1141.875,2055.375,1866.048,,
Clay Springs 2,170,187,140.25,252.45,631.9028,,
Dairy Fork 1,120,174,130.5,234.9,231.5647,,
Dairy Fork 2,25,36.25,27.1875,48.9375,166.619,,
Dollar Ridge 1,1060,1325,993.75,1788.75,1636.98661,3122.552795,248.8778271
Dollar Ridge 2,5600,7000,5250,9450,6682.483,,
Dollar Ridge 3,60,87,65.25,117.45,258.6278,,
Dollar Ridge 4,650,1040,780,1404,921.0533814,2255.933481,249.5358045
Dollar Ridge 5,3000,3600,2700,4860,3618.886629,5010.218919,428.5988487
Lake Fork 1,11000,13750,9900,17875,10743.5,12123.5,2094.794851
Lake Fork 2,830,1162,871.5,1568.7,979.735,,
POCR Blind Canyon 1,520,832,624,1123.2,510.5147604,788.0252619,1010.998157
POCR Cox Canyon,2600,2730,2047.5,3685.5,3447.9,,
POCR Thistle Creek,230,241.5,181.125,326.025,324.6521,,
Seeley 1,490,661.5,496.125,893.025,713.2824009,1832.172693,306.5918811
Shingle 1,930,1023,767.25,1381.05,850.8434,4429.299805,641.5041534
Tie Fork 1,600,660,495,891,514.4502,,
Tie Fork 2,2200,2530,1897.5,3415.5,3270.716689,4828.799805,333.6124135
Trailmountain 1,1700,2380,1785,3213,1138.940188,1280.096189,2567.386122
Trailmountain 2,180,252,189,340.2,236.6716,,
Trailmountain 3,1370,1575.5,1181.625,2126.925,981.3727,,
Trailmountain 4,210,273,204.75,368.55,511.5591,,
West Valley 1,50,52.5,39.375,70.875,115.2941,,
West Valley 2,100,120,90,162,153.7021,,
West Valley 3,230,287.5,215.625,388.125,188.7386,,
