# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-05 16:44:20 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09285900 STRAWBERRY RIVER AT PINNACLES NEAR FRUITLAND, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 09285900
#            TS   parameter     statistic     Description
#        142904       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	142904_00060_00003	142904_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09285900	1989-10-01	49.0	A
USGS	09285900	1989-10-02	42.0	A
USGS	09285900	1989-10-03	42.0	A
USGS	09285900	1989-10-04	41.0	A
USGS	09285900	1989-10-05	41.0	A
USGS	09285900	1989-10-06	41.0	A
USGS	09285900	1989-10-07	41.0	A
USGS	09285900	1989-10-08	42.0	A
USGS	09285900	1989-10-09	43.0	A
USGS	09285900	1989-10-10	42.0	A
USGS	09285900	1989-10-11	42.0	A
USGS	09285900	1989-10-12	42.0	A
USGS	09285900	1989-10-13	43.0	A
USGS	09285900	1989-10-14	42.0	A
USGS	09285900	1989-10-15	44.0	A
USGS	09285900	1989-10-16	42.0	A
USGS	09285900	1989-10-17	42.0	A
USGS	09285900	1989-10-18	42.0	A
USGS	09285900	1989-10-19	42.0	A
USGS	09285900	1989-10-20	42.0	A
USGS	09285900	1989-10-21	40.0	A
USGS	09285900	1989-10-22	39.0	A
USGS	09285900	1989-10-23	39.0	A
USGS	09285900	1989-10-24	38.0	A
USGS	09285900	1989-10-25	39.0	A
USGS	09285900	1989-10-26	41.0	A
USGS	09285900	1989-10-27	41.0	A
USGS	09285900	1989-10-28	41.0	A
USGS	09285900	1989-10-29	41.0	A
USGS	09285900	1989-10-30	41.0	A
USGS	09285900	1989-10-31	41.0	A
USGS	09285900	1989-11-01	42.0	A
USGS	09285900	1989-11-02	43.0	A
USGS	09285900	1989-11-03	42.0	A
USGS	09285900	1989-11-04	42.0	A
USGS	09285900	1989-11-05	43.0	A
USGS	09285900	1989-11-06	42.0	A
USGS	09285900	1989-11-07	41.0	A
USGS	09285900	1989-11-08	41.0	A
USGS	09285900	1989-11-09	41.0	A
USGS	09285900	1989-11-10	42.0	A:e
USGS	09285900	1989-11-11	41.0	A:e
USGS	09285900	1989-11-12	40.0	A
USGS	09285900	1989-11-13	39.0	A
USGS	09285900	1989-11-14	39.0	A
USGS	09285900	1989-11-15	39.0	A
USGS	09285900	1989-11-16	38.0	A
USGS	09285900	1989-11-17	38.0	A
USGS	09285900	1989-11-18	38.0	A
USGS	09285900	1989-11-19	38.0	A
USGS	09285900	1989-11-20	37.0	A
USGS	09285900	1989-11-21	38.0	A
USGS	09285900	1989-11-22	39.0	A
USGS	09285900	1989-11-23	39.0	A
USGS	09285900	1989-11-24	40.0	A
USGS	09285900	1989-11-25	40.0	A
USGS	09285900	1989-11-26	41.0	A
USGS	09285900	1989-11-27	40.0	A
USGS	09285900	1989-11-28	30.0	A:e
USGS	09285900	1989-11-29	31.0	A:e
USGS	09285900	1989-11-30	31.0	A:e
USGS	09285900	1989-12-01	32.0	A:e
USGS	09285900	1989-12-02	32.0	A
USGS	09285900	1989-12-03	34.0	A
USGS	09285900	1989-12-04	36.0	A
USGS	09285900	1989-12-05	41.0	A
USGS	09285900	1989-12-06	45.0	A
USGS	09285900	1989-12-07	41.0	A
USGS	09285900	1989-12-08	41.0	A
USGS	09285900	1989-12-09	41.0	A
USGS	09285900	1989-12-10	40.0	A
USGS	09285900	1989-12-11	40.0	A
USGS	09285900	1989-12-12	25.0	A
USGS	09285900	1989-12-13	31.0	A
USGS	09285900	1989-12-14	35.0	A
USGS	09285900	1989-12-15	40.0	A
USGS	09285900	1989-12-16	42.0	A
USGS	09285900	1989-12-17	39.0	A
USGS	09285900	1989-12-18	39.0	A
USGS	09285900	1989-12-19	45.0	A
USGS	09285900	1989-12-20	34.0	A
USGS	09285900	1989-12-21	39.0	A
USGS	09285900	1989-12-22	40.0	A
USGS	09285900	1989-12-23	39.0	A
USGS	09285900	1989-12-24	38.0	A
USGS	09285900	1989-12-25	33.0	A:e
USGS	09285900	1989-12-26	32.0	A:e
USGS	09285900	1989-12-27	33.0	A:e
USGS	09285900	1989-12-28	34.0	A:e
USGS	09285900	1989-12-29	35.0	A:e
USGS	09285900	1989-12-30	36.0	A:e
USGS	09285900	1989-12-31	37.0	A
USGS	09285900	1990-01-01	42.0	A:e
USGS	09285900	1990-01-02	43.0	A
USGS	09285900	1990-01-03	43.0	A
USGS	09285900	1990-01-04	30.0	A:e
USGS	09285900	1990-01-05	30.0	A:e
USGS	09285900	1990-01-06	35.0	A:e
USGS	09285900	1990-01-07	37.0	A:e
USGS	09285900	1990-01-08	40.0	A:e
