# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-11-12 16:15:49 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10194200 CLEAR CREEK ABOVE DIVERSIONS, NEAR SEVIER, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10194200
#            TS   parameter     statistic     Description
#        143798       00060     00003     Discharge, cubic feet per second (Mean)
#        237564       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143798_00060_00003	143798_00060_00003_cd	237564_00065_00003	237564_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	10194200	2010-10-16	14.6	A	1.31	A
USGS	10194200	2010-10-17	14.7	A	1.31	A
USGS	10194200	2010-10-18	16.5	A	1.35	A
USGS	10194200	2010-10-19	15.5	A	1.33	A
USGS	10194200	2010-10-20	14.9	A	1.31	A
USGS	10194200	2010-10-21	15.0	A	1.32	A
USGS	10194200	2010-10-22	17.5	A	1.38	A
USGS	10194200	2010-10-23	17.9	A	1.39	A
USGS	10194200	2010-10-24	25.0	A	1.54	A
USGS	10194200	2010-10-25	22.8	A	1.50	A
USGS	10194200	2010-10-26	19.5	A	1.42	A
USGS	10194200	2010-10-27	18.2	A	1.39	A
USGS	10194200	2010-10-28	17.0	A	1.36	A
USGS	10194200	2010-10-29	17.3	A	1.37	A
USGS	10194200	2010-10-30	18.1	A	1.39	A
USGS	10194200	2010-10-31	18.6	A	1.40	A
USGS	10194200	2010-11-01	17.2	A	1.37	A
USGS	10194200	2010-11-02	16.5	A	1.35	A
USGS	10194200	2010-11-03	16.3	A	1.35	A
USGS	10194200	2010-11-04	16.3	A	1.35	A
USGS	10194200	2010-11-05	16.2	A	1.35	A
USGS	10194200	2010-11-06	15.9	A	1.34	A
USGS	10194200	2010-11-07	15.9	A	1.34	A
USGS	10194200	2010-11-08	17.2	A	1.37	A
USGS	10194200	2010-11-09	17.2	A	1.37	A
USGS	10194200	2010-11-10	14.4	A	1.30	A
USGS	10194200	2010-11-11	17.2	A	1.37	A
USGS	10194200	2010-11-12	12.0	A	1.23	A
USGS	10194200	2010-11-13	13.4	A	1.27	A
USGS	10194200	2010-11-14	17.4	A	1.37	A
USGS	10194200	2010-11-15	16.8	A	1.36	A
USGS	10194200	2010-11-16	15.8	A	1.34	A
USGS	10194200	2010-11-17	14.4	A	1.30	A
USGS	10194200	2010-11-18	14.7	A	1.31	A
USGS	10194200	2010-11-19	15.5	A	1.33	A
USGS	10194200	2010-11-20	15.2	A	1.32	A
USGS	10194200	2010-11-21	15.5	A	1.33	A
USGS	10194200	2010-11-22	11.4	A	1.22	A
USGS	10194200	2010-11-23	12.4	A	1.24	A
USGS	10194200	2010-11-24	9.14	A	1.16	A
USGS	10194200	2010-11-25	5.00	A:e		
USGS	10194200	2010-11-26	7.00	A:e		
USGS	10194200	2010-11-27	8.00	A:e	1.48	A
USGS	10194200	2010-11-28	10.8	A	1.21	A
USGS	10194200	2010-11-29	10.5	A	1.20	A
USGS	10194200	2010-11-30	7.68	A	1.11	A
USGS	10194200	2010-12-01	10.9	A	1.21	A
USGS	10194200	2010-12-02	11.7	A	1.23	A
USGS	10194200	2010-12-03	16.0	A	1.35	A
USGS	10194200	2010-12-04	16.9	A	1.37	A
USGS	10194200	2010-12-05	16.9	A	1.37	A
USGS	10194200	2010-12-06	17.7	A	1.39	A
USGS	10194200	2010-12-07	16.5	A	1.36	A
USGS	10194200	2010-12-08	15.2	A	1.33	A
USGS	10194200	2010-12-09	16.0	A	1.35	A
USGS	10194200	2010-12-10	15.9	A	1.35	A
USGS	10194200	2010-12-11	15.5	A	1.34	A
USGS	10194200	2010-12-12	15.3	A	1.33	A
USGS	10194200	2010-12-13	14.9	A	1.32	A
USGS	10194200	2010-12-14	15.3	A	1.33	A
USGS	10194200	2010-12-15	15.6	A	1.34	A
USGS	10194200	2010-12-16	14.3	A	1.31	A
USGS	10194200	2010-12-17	8.61	A	1.15	A
USGS	10194200	2010-12-18	17.4	A	1.39	A
USGS	10194200	2010-12-19	19.2	A	1.44	A
USGS	10194200	2010-12-20	30.6	A	1.68	A
USGS	10194200	2010-12-21	23.4	A	1.53	A
USGS	10194200	2010-12-22	25.3	A	1.57	A
USGS	10194200	2010-12-23	26.1	A	1.59	A
USGS	10194200	2010-12-24	22.3	A	1.51	A
USGS	10194200	2010-12-25	18.3	A	1.42	A
USGS	10194200	2010-12-26	20.1	A	1.46	A
USGS	10194200	2010-12-27	16.1	A	1.36	A
USGS	10194200	2010-12-28	9.53	A	1.18	A
USGS	10194200	2010-12-29	19.4	A	1.44	A
USGS	10194200	2010-12-30	9.25	A	1.18	A
USGS	10194200	2010-12-31	5.89	A	1.08	A
USGS	10194200	2011-01-01	5.00	A:e		
USGS	10194200	2011-01-02	6.00	A:e	1.63	A
USGS	10194200	2011-01-03	13.0	A:e	1.39	A
USGS	10194200	2011-01-04	15.5	A	1.36	A
USGS	10194200	2011-01-05	14.0	A:e	1.60	A
USGS	10194200	2011-01-06	11.9	A	1.27	A
USGS	10194200	2011-01-07	14.0	A:e	1.33	A
USGS	10194200	2011-01-08	14.0	A:e	1.44	A
USGS	10194200	2011-01-09	14.3	A	1.33	A
USGS	10194200	2011-01-10	12.3	A	1.28	A
USGS	10194200	2011-01-11	8.96	A	1.18	A
USGS	10194200	2011-01-12	11.4	A	1.25	A
USGS	10194200	2011-01-13	12.6	A	1.28	A
USGS	10194200	2011-01-14	15.3	A	1.35	A
USGS	10194200	2011-01-15	15.5	A	1.36	A
USGS	10194200	2011-01-16	16.9	A	1.39	A
USGS	10194200	2011-01-17	19.0	A	1.44	A
USGS	10194200	2011-01-18	19.0	A	1.45	A
USGS	10194200	2011-01-19	17.6	A	1.42	A
USGS	10194200	2011-01-20	13.8	A	1.32	A
USGS	10194200	2011-01-21	14.9	A	1.35	A
USGS	10194200	2011-01-22	17.5	A	1.42	A
USGS	10194200	2011-01-23	14.6	A	1.34	A
USGS	10194200	2011-01-24	12.4	A	1.27	A
USGS	10194200	2011-01-25	14.9	A	1.35	A
USGS	10194200	2011-01-26	16.6	A	1.40	A
USGS	10194200	2011-01-27	12.8	A	1.29	A
USGS	10194200	2011-01-28	14.7	A	1.34	A
USGS	10194200	2011-01-29	15.9	A	1.37	A
USGS	10194200	2011-01-30	17.0	A	1.40	A
USGS	10194200	2011-01-31	16.7	A	1.40	A
USGS	10194200	2011-02-01	13.8	A	1.32	A
USGS	10194200	2011-02-02	13.0	A:e		
USGS	10194200	2011-02-03	12.0	A:e		
USGS	10194200	2011-02-04	15.0	A:e	2.30	A
USGS	10194200	2011-02-05	18.0	A:e	1.95	A
USGS	10194200	2011-02-06	17.0	A:e	2.09	A
USGS	10194200	2011-02-07	17.2	A	1.40	A
USGS	10194200	2011-02-08	16.1	A	1.37	A
USGS	10194200	2011-02-09	11.6	A	1.24	A
USGS	10194200	2011-02-10	13.0	A:e	1.52	A
USGS	10194200	2011-02-11	14.0	A:e	1.43	A
USGS	10194200	2011-02-12	14.9	A	1.33	A
USGS	10194200	2011-02-13	16.2	A	1.36	A
USGS	10194200	2011-02-14	16.8	A	1.37	A
USGS	10194200	2011-02-15	16.6	A	1.37	A
USGS	10194200	2011-02-16	17.4	A	1.39	A
USGS	10194200	2011-02-17	18.0	A	1.40	A
USGS	10194200	2011-02-18	17.1	A	1.37	A
USGS	10194200	2011-02-19	17.8	A	1.39	A
USGS	10194200	2011-02-20	17.0	A	1.36	A
USGS	10194200	2011-02-21	14.0	A	1.28	A
USGS	10194200	2011-02-22	14.2	A	1.28	A
USGS	10194200	2011-02-23	16.8	A	1.34	A
USGS	10194200	2011-02-24	16.9	A	1.35	A
USGS	10194200	2011-02-25	16.7	A	1.35	A
USGS	10194200	2011-02-26	16.9	A	1.35	A
USGS	10194200	2011-02-27	17.1	A	1.35	A
USGS	10194200	2011-02-28	16.0	A:e		
USGS	10194200	2011-03-01	16.4	A	1.32	A
USGS	10194200	2011-03-02	18.1	A	1.37	A
USGS	10194200	2011-03-03	19.0	A	1.39	A
USGS	10194200	2011-03-04	19.2	A	1.39	A
USGS	10194200	2011-03-05	18.1	A	1.36	A
USGS	10194200	2011-03-06	19.1	A	1.38	A
USGS	10194200	2011-03-07	20.3	A	1.41	A
USGS	10194200	2011-03-08	18.3	A	1.36	A
USGS	10194200	2011-03-09	19.5	A	1.37	A
USGS	10194200	2011-03-10	23.4	A	1.47	A
USGS	10194200	2011-03-11	29.6	A	1.60	A
USGS	10194200	2011-03-12	35.2	A	1.72	A
USGS	10194200	2011-03-13	37.4	A	1.76	A
USGS	10194200	2011-03-14	39.7	A	1.80	A
USGS	10194200	2011-03-15	43.7	A	1.88	A
