"","Site","EstInt","0","1","2","3","4","5","6","7","8","9","10"
"11","Fish Creek 1",100,85.6,NA,NA,84.8,NA,NA,NA,87.1,NA,78.9,79.5
"12","Fish Creek 2",100,82.7,NA,NA,75.2,NA,NA,NA,77.7,NA,77.7,77.8
"13","Fish Creek 3",100,87.4,NA,NA,73.3,NA,NA,NA,81.9,NA,76.8,75.9
"22","Shingle Creek 1A",100,94.9,NA,NA,92.4,NA,NA,NA,91.3,NA,89.2,88.6
"24","Twitchell 1A",100,95.5,NA,NA,NA,92.5,NA,91.2,87.3,NA,NA,NA
"25","Twitchell 2A",100,91.6,NA,NA,NA,71.8,NA,66.1,51.8,NA,NA,NA
"26","Twitchell 3A",100,100,NA,NA,NA,71.7,NA,69,59.4,NA,NA,NA
"27","Twitchell 4A",100,100,NA,NA,NA,94.5,NA,81.8,78,NA,NA,NA
"28","Twitchell 5A",100,100,NA,NA,NA,100,NA,100,100,NA,NA,NA
"29","Twitchell 6A",100,87,NA,NA,NA,85.2,NA,84.4,82.4,NA,NA,NA
"30","Twitchell 7A",100,84.9,NA,NA,NA,58.7,NA,59.8,53.3,NA,NA,NA
"31","Twitchell 8A",100,100,NA,NA,NA,100,NA,99.3,99.1,NA,NA,NA
